143, 2024-01-01, Monthly Stand Fees, 1001, 175.00, 26.25, 201.25
144, 2024-01-02, Taxi Fare, 1002, 50.00, 7.50, 57.50
145, 2024-01-03, Taxi Fare, 1003, 40.00, 6.00, 46.00
146, 2024-01-04, Airport Shuttle, 1004, 90.00, 13.50, 103.50
147, 2024-01-05, Taxi Fare, 1005, 55.00, 8.25, 63.25
148, 2024-01-06, Monthly Stand Fees, 1006, 175.00, 26.25, 201.25
149, 2024-01-07, Taxi Fare, 1007, 35.00, 5.25, 40.25
150, 2024-01-08, Taxi Fare, 1008, 65.00, 9.75, 74.75
151, 2024-01-09, Airport Shuttle, 1009, 80.00, 12.00, 92.00
152, 2024-01-10, Taxi Fare, 1010, 45.00, 6.75, 51.75
153, 2024-01-11, Monthly Stand Fees, 1011, 175.00, 26.25, 201.25
154, 2024-01-12, Taxi Fare, 1012, 70.00, 10.50, 80.50
155, 2024-01-13, Taxi Fare, 1013, 60.00, 9.00, 69.00
156, 2024-01-14, Taxi Fare, 1014, 75.00, 11.25, 86.25
157, 2024-01-15, Taxi Fare, 1015, 50.00, 7.50, 57.50
158, 2024-01-16, Monthly Stand Fees, 1016, 175.00, 26.25, 201.25
159, 2024-01-17, Taxi Fare, 1017, 55.00, 8.25, 63.25
160, 2024-01-18, Taxi Fare, 1018, 60.00, 9.00, 69.00
161, 2024-01-19, Taxi Fare, 1019, 45.00, 6.75, 51.75
162, 2024-01-20, Monthly Stand Fees, 1020, 175.00, 26.25, 201.25
